pos	sentiment
488	55.5555555556
489	0.0
490	0.0
491	-11.1111111111
492	-50.0
493	14.2857142857
494	60.0
495	25.0
496	100.0
497	-42.8571428571
498	-33.3333333333
499	25.0
500	-75.0
501	-100.0
502	-33.3333333333
503	-100.0
504	14.2857142857
505	-25.0
506	0.0
507	20.0
508	0.0
509	14.2857142857
510	42.8571428571
511	66.6666666667
512	0.0
513	9.09090909091
514	-71.4285714286
515	16.6666666667
516	38.4615384615
517	20.0
518	33.3333333333
519	-50.0
520	-14.2857142857
521	42.8571428571
522	100.0
523	-50.0
524	-100.0
525	-100.0
526	-66.6666666667
527	0.0
528	11.1111111111
529	16.6666666667
530	-33.3333333333
531	-33.3333333333
532	-45.4545454545
533	50.0
534	40.0
535	-60.0
536	-42.8571428571
537	-33.3333333333
538	0.0
539	33.3333333333
540	-60.0
541	-42.8571428571
542	60.0
543	50.0
544	-100.0
545	-33.3333333333
546	-20.0
547	33.3333333333
548	-100.0
549	-33.3333333333
550	38.4615384615
551	23.0769230769
552	100.0
553	100.0
554	100.0
555	0.0
556	-20.0
557	33.3333333333
558	20.0
559	-63.6363636364
560	-33.3333333333
561	-33.3333333333
562	-71.4285714286
563	-33.3333333333
564	66.6666666667
565	-66.6666666667
566	23.0769230769
567	-14.2857142857
568	-7.69230769231
569	-66.6666666667
570	14.2857142857
571	-20.0
572	-25.0
573	-50.0
574	60.0
575	0.0
576	0.0
577	0.0
578	-20.0
579	40.0
580	0.0
581	11.1111111111
582	-100.0
583	-33.3333333333
584	-14.2857142857
585	100.0
586	0.0
587	20.0
588	0.0
589	40.0
590	-100.0
591	11.1111111111
592	-11.1111111111
593	0.0
594	-14.2857142857
595	-66.6666666667
596	25.0
597	42.8571428571
598	-33.3333333333
599	-100.0
600	0.0
601	20.0
602	-33.3333333333
603	-33.3333333333
604	-11.1111111111
605	53.8461538462
606	0.0
607	20.0
608	14.2857142857
609	0.0
610	9.09090909091
611	14.2857142857
612	-33.3333333333
613	20.0
614	45.4545454545
615	-66.6666666667
616	100.0
617	-60.0
618	-66.6666666667
619	0.0
620	9.09090909091
621	20.0
622	-50.0
623	45.4545454545
624	-50.0
625	-33.3333333333
626	-50.0
627	-33.3333333333
628	-11.1111111111
629	-33.3333333333
630	33.3333333333
631	-100.0
632	-60.0
633	100.0
634	100.0
635	33.3333333333
636	50.0
637	-60.0
638	-33.3333333333
639	42.8571428571
640	-20.0
641	0.0
642	-14.2857142857
643	0.0
644	33.3333333333
645	-66.6666666667
646	9.09090909091
647	23.0769230769
648	-11.1111111111
649	-16.6666666667
650	42.8571428571
651	50.0
652	33.3333333333
653	42.8571428571
654	0.0
655	-20.0
656	0.0
657	100.0
658	0.0
659	-100.0
